action_id,account_id,domain,action_type,rationale,expected_value,effort_hours,owner,priority_score
ACT001,ACC007,Operations,Escalate integration reliability review with Data Engineering,"Priority 73.5 from risk 73.3, trust gap 41.9, and opportunity 100.",784503,12.1,Revenue,73.5
ACT002,ACC019,Operations,Escalate integration reliability review with Data Engineering,"Priority 68.0 from risk 64.0, trust gap 36.8, and opportunity 100.",140641,11.0,Customer Success,68.0
ACT003,ACC023,Operations,Escalate integration reliability review with Data Engineering,"Priority 66.4 from risk 62.1, trust gap 33.8, and opportunity 100.",646684,13.9,Customer Success,66.4
ACT004,ACC016,Operations,Escalate integration reliability review with Data Engineering,"Priority 64.5 from risk 58.8, trust gap 32.1, and opportunity 100.",163162,17.8,Revenue,64.5
ACT005,ACC036,Operations,Escalate integration reliability review with Data Engineering,"Priority 64.1 from risk 58.2, trust gap 31.5, and opportunity 100.",125744,14.4,Revenue,64.1
ACT006,ACC039,Operations,Escalate integration reliability review with Data Engineering,"Priority 63.5 from risk 56.1, trust gap 32.8, and opportunity 100.",349601,4.6,Operations,63.5
ACT007,ACC025,Operations,Escalate integration reliability review with Data Engineering,"Priority 62.5 from risk 56.3, trust gap 28.9, and opportunity 100.",111586,18.0,Product,62.5
ACT008,ACC037,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 61.5 from risk 53.6, trust gap 29.5, and opportunity 100.",159115,13.2,Customer Success,61.5
ACT009,ACC020,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 59.7 from risk 50.8, trust gap 27.2, and opportunity 100.",50156,4.3,Product,59.7
ACT010,ACC021,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 58.3 from risk 48.3, trust gap 26.3, and opportunity 100.",733138,17.4,Product,58.3
ACT011,ACC002,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 58.2 from risk 49.7, trust gap 23.4, and opportunity 100.",823786,16.1,Product,58.2
ACT012,ACC018,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 57.5 from risk 48.5, trust gap 22.9, and opportunity 100.",26845,12.6,Product,57.5
ACT013,ACC027,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 57.4 from risk 48.0, trust gap 23.0, and opportunity 100.",253888,15.4,Operations,57.4
ACT014,ACC001,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 56.8 from risk 47.4, trust gap 21.7, and opportunity 100.",126626,16.6,Revenue,56.8
ACT015,ACC014,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 56.7 from risk 46.1, trust gap 24.0, and opportunity 100.",614394,14.5,Operations,56.7
ACT016,ACC017,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 55.7 from risk 46.0, trust gap 20.2, and opportunity 100.",32451,14.2,Operations,55.7
ACT017,ACC026,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 54.1 from risk 41.6, trust gap 21.6, and opportunity 100.",108743,14.7,Operations,54.1
ACT018,ACC028,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 52.5 from risk 38.8, trust gap 20.0, and opportunity 100.",443376,5.3,Product,52.5
ACT019,ACC034,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 52.4 from risk 38.8, trust gap 19.8, and opportunity 100.",20430,7.7,Revenue,52.4
ACT020,ACC038,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 50.3 from risk 37.1, trust gap 14.3, and opportunity 100.",35358,17.9,Product,50.3
ACT021,ACC042,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 49.7 from risk 36.0, trust gap 13.9, and opportunity 100.",65412,15.2,Customer Success,49.7
ACT022,ACC041,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 48.4 from risk 53.7, trust gap 30.0, and opportunity 55.7.",117195,9.8,Revenue,48.4
ACT023,ACC022,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 47.4 from risk 30.3, trust gap 15.0, and opportunity 100.",149086,9.0,Customer Success,47.4
ACT024,ACC005,Revenue and product,Create expansion analysis packet for stakeholder review,"Priority 46.3 from risk 29.3, trust gap 12.3, and opportunity 100.",60591,4.9,Revenue,46.3
